Tab,Group,Chart Key,Chart Label,Default Horizon,Notes
Control Center,Overview,cc-matrix,Flagged signals,,
Control Center,Deep Dive,cc-bitcoin,Bitcoin rules,,
Control Center,Deep Dive,cc-themes,Theme rules,,
Control Center,Deep Dive,cc-altcoins,Altcoin rules,,
Control Center,Deep Dive,cc-macro,Macro rules,,
Bitcoin,Overview,btc-overview,Signal overview,,
Bitcoin,Price Performance,btc-rolling,Rolling return,,
Bitcoin,Price Performance,btc-drawdown,Drawdown from ATH,,
Bitcoin,Moving Averages,btc-ma,50-day and 200-day moving average,,
Bitcoin,Moving Averages,btc-ma-gap,50d and 200d gap,,
Bitcoin,Moving Averages,btc-200w-floor,200-week moving average,,
Bitcoin,Moving Averages,btc-200d-dev,200-week deviation,,
Bitcoin,Moving Averages,btc-pi-cycle,Pi cycle top,,
Bitcoin,Market Cap,btc-mcap,Total market cap,,
Bitcoin,Market Cap,btc-dominance,Market dominance (%),,
Bitcoin,Bitcoin Dominance,btc-dom-ma,50-day and 200-day moving average,,
Bitcoin,Volatility,btc-realvol,Realised volatility,,
Bitcoin,Volatility,btc-rv-iv,RV vs IV (DVOL),,
Bitcoin,Bitcoin vs Gold,btc-gold,Bitcoin vs Gold,,
Bitcoin,Bitcoin vs Gold,btc-gold-ratio,BTC/Gold ratio,,
Bitcoin,Derivatives,btc-funding,Funding rate,,
Bitcoin,Derivatives,btc-oi,Open interest,,
Bitcoin,Derivatives,btc-funding-delta,Funding rate delta,,
Bitcoin,Cycle Analysis,btc-epochs,Halving epochs,,
Bitcoin,Cycle Analysis,btc-cycles,Bear market cycles,,
Bitcoin,Cycle Analysis,btc-bull,Bull market cycles,,
Ethereum,Overview,eth-overview,Signal overview,,
Ethereum,Price Performance,eth-drawdown,Drawdown from ATH,,
Ethereum,Moving Averages,eth-ma,50-day and 200-day moving average,,
Ethereum,Moving Averages,eth-ma-gap,50d and 200d gap,,
Ethereum,Moving Averages,eth-ma-combined,200w MA and 50d/200d gap,,
Ethereum,Moving Averages,eth-200d-dev,200-week deviation,,
Ethereum,Market Cap,eth-mcap,Total market cap,,
Ethereum,Relative,eth-btc-ratio,ETH/BTC ratio,,
Altcoins,Overview,alt-overview,Signal overview,,
Altcoins,Moving Averages,am-mcap,Altcoin mcap with MAs,,
Altcoins,Moving Averages,am-mcap-gap,50d and 200d gap,,
Altcoins,Moving Averages,am-mcap-dev,200d MA deviation,,
Altcoins,Market Cap,am-dominance,Dominance shares,,
Altcoins,Market Cap,am-rel-share,Altcoin relative share,,
Altcoins,Market Cap,am-btc-ratio,BTC/Altcoin mcap ratio,,
Altcoins,Relative Performance,alt-scatter,Performance vs BTC,,
Altcoins,Relative Performance,alt-altseason,Altseason indicator,,
Altcoins,Relative Performance,alt-beta,Beta to BTC,,
Altcoins,Correlation,alt-heatmap,Correlation heatmap,,
Altcoins,Correlation,am-intracorr,Altcoin intracorrelation,,
Altcoins,Deep Dive,alt-rebase,Rebased performance,,
Altcoins,Deep Dive,alt-zscore-mom,Z-scored momentum,,
Altcoins,Drawdown,alt-ath-drawdown,Distance from ATH,,
Altcoins,Drawdown,alt-drawdown-ts,Drawdown over time,,
Altcoins,Derivatives,alt-funding-heatmap,Funding rate heatmap,,
Baskets,Overview,bas-overview,Signal overview,,
Baskets,Overview,sec-overview,Sector overview,,
Baskets,Price Action,sec-equal,Equal-weighted,,
Baskets,Price Action,sec-mcap,Marketcap-weighted,,
Baskets,Market Cap,mc-total,Total market cap,,
Baskets,Market Cap,mc-median,Median market cap,,
Baskets,Market Cap,sec-dominance,Dominance over time,,
Baskets,Correlation,sec-intra,Intracorrelation,,
Baskets,Correlation,sec-vs,vs BTC / ETH / Alts,,
Baskets,Correlation,sec-xheatmap,Cross-sector heatmap,,
Baskets,Momentum,sec-mom,30d Rolling return,,
Baskets,Momentum,sec-zscore,Z-score of returns,,
Baskets,Momentum,sec-cumulative,Cumulative returns ranking,,
Baskets,Volatility,sec-vol,Realized volatility,,
Baskets,Volatility,sec-drawdown,Drawdown from peak,,
Baskets,Breadth,sec-breadth,Breadth indicator,,
Baskets,Derivatives,sec-funding,Sector funding rate,,
Baskets,Derivatives,sec-oi,Sector open interest,,
Baskets,Rotation,sec-rrg,RRG scatter,,
Baskets,Analysis,ana-bubble,Momentum vs correlation,,
Baskets,Analysis,sec-sharpe,Risk-adjusted returns,,
Crypto Market,Market Cap,cm-total-mcap,Total market cap,,
Macro,Price Action,mac-risk-adj,Risk-adjusted performance,,
Macro,Price Action,mac-price,Price comparison,,
Macro,Correlation,mac-matrix,Macro vs crypto correlation,,
Macro,Correlation,mac-btc-corr,Correlation against BTC,,
Macro,Correlation,mac-dxy-btc,DXY vs BTC,,
Macro,Risk Regime,mac-risk,Risk-on / Risk-off indicator,,
Macro,Rates,mac-real-yields,Real yields vs BTC,,
Macro,Risk-Adjusted,mac-sharpe,Rolling Sharpe ratio,,
Macro,Flows,mac-stablecoin,Stablecoin supply,,
ETF,Flows,etf-net-flows,Trailing — spot ETF flows,,
ETF,Flows,etf-daily-bar,Daily — spot ETF flows,,
ETF,Flows,etf-weekly-bar,Weekly — spot ETF flows,,
ETF,Assets Under Management,etf-total-aum,Total AuM,,
